Artifact, Size (Bytes)
batch, 647
autoscalingplans-jvm, 547768
timestreamwrite-jvm, 1050538
kendraranking, 647
dataexchange, 647
migrationhubstrategy-jvm, 1650443
networkflowmonitor-jvm, 976203
cloudwatchlogs, 647
workdocs, 647
codegurureviewer, 647
sagemakermetrics, 647
ecs-jvm, 4355008
chatbot-jvm, 1357517
pinpointsmsvoice-jvm, 385107
timestreamquery, 647
amplifybackend, 647
tnb-jvm, 1314500
sns, 647
imagebuilder, 647
marketplaceentitlementservice, 647
amp-jvm, 1694229
swf-jvm, 2285011
dynamodb, 647
rdsdata-jvm, 436389
networkfirewall-jvm, 2833021
migrationhubstrategy, 647
codestarnotifications, 647
snowball-jvm, 1333649
swf, 647
opensearch-jvm, 4006424
devicefarm-jvm, 2875553
ses-jvm, 2453600
resourcegroups-jvm, 997844
codestarconnections-jvm, 1059911
kafka, 647
servicequotas-jvm, 942860
greengrassv2-jvm, 1449550
notificationscontacts, 647
wafregional-jvm, 3030810
applicationdiscoveryservice-jvm, 1303756
workmail, 647
deadline, 647
kinesisvideowebrtcstorage, 647
connectcampaigns-jvm, 837928
migrationhubconfig-jvm, 234117
lexmodelsv2-jvm, 6615730
appmesh-jvm, 2995799
mpa-jvm, 976760
servicecatalogappregistry-jvm, 877894
forecastquery, 647
efs, 647
quicksight, 647
databasemigrationservice, 647
lookoutequipment, 647
directoryservicedata, 647
ssmsap-jvm, 1205428
acm, 647
cleanroomsml, 647
mediaconvert-jvm, 7388147
inspector2, 647
dynamodb-jvm, 3759908
devopsguru, 647
workspaces, 647
mediapackagevod-jvm, 875983
ecr, 647
configservice-jvm, 5155624
serverlessapplicationrepository-jvm, 600385
iam-jvm, 4821140
kendra, 647
servicediscovery, 647
codecatalyst-jvm, 1453052
pinpoint-jvm, 5457007
bcmpricingcalculator-jvm, 1894451
paymentcryptography, 647
apprunner-jvm, 1551096
licensemanagerusersubscriptions, 647
schemas, 647
costandusagereportservice, 647
s3outposts, 647
sagemakerruntime, 647
datazone, 647
machinelearning, 647
workspaces-jvm, 3831912
vpclattice, 647
sagemakerfeaturestoreruntime, 647
marketplaceagreement, 647
freetier-jvm, 366787
ssooidc, 647
resiliencehub, 647
cloudtraildata, 647
migrationhub, 647
connectcampaignsv2, 647
kinesisvideomedia, 647
partnercentralselling-jvm, 2783229
mgn-jvm, 3088545
synthetics, 647
opensearchserverless-jvm, 1540201
evs, 647
cloudfront, 647
polly-jvm, 695058
efs-jvm, 1361116
wisdom, 647
marketplacecatalog, 647
ssoadmin, 647
ioteventsdata-jvm, 747772
entityresolution, 647
fis, 647
lexmodelsv2, 647
codegurusecurity, 647
groundstation, 647
rum-jvm, 853157
arczonalshift-jvm, 681698
iotjobsdataplane-jvm, 338612
emrcontainers, 647
medicalimaging, 647
pinpointsmsvoicev2-jvm, 3814469
workmailmessageflow-jvm, 156081
migrationhuborchestrator, 647
codeconnections, 647
dynamodb-mapper-annotations-jvm, 4150
bedrockagentcorecontrol, 647
codepipeline-jvm, 3014450
signer, 647
aws-config, 647
ebs, 647
osis, 647
kafkaconnect, 647
iotwireless, 647
iotdataplane, 647
iotfleetwise, 647
licensemanagerusersubscriptions-jvm, 852887
chimesdkmediapipelines, 647
appstream, 647
proton, 647
ssm, 647
inspector, 647
kinesisvideowebrtcstorage-jvm, 134867
ebs-jvm, 375296
workspacesinstances-jvm, 973170
cognitosync, 647
ivsrealtime, 647
codedeploy-jvm, 3205079
bedrockagentruntime-jvm, 3912432
pinpointsmsvoicev2, 647
resourceexplorer2-jvm, 1162810
securityhub, 647
ssmincidents, 647
neptune, 647
emrcontainers-jvm, 1164376
connectparticipant-jvm, 587722
tnb, 647
schemas-jvm, 925052
devopsguru-jvm, 2099363
memorydb, 647
observabilityadmin, 647
configservice, 647
ssmguiconnect, 647
bcmdataexports-jvm, 631615
elastictranscoder, 647
keyspacesstreams, 647
grafana, 647
cloudfrontkeyvaluestore, 647
budgets-jvm, 1396582
glue, 647
bedrockruntime-jvm, 2005902
qapps, 647
pricing-jvm, 327415
sqs-jvm, 1002354
cloudwatchlogs-jvm, 3651479
qconnect, 647
neptunedata, 647
iot, 647
codepipeline, 647
trustedadvisor-jvm, 673989
lakeformation-jvm, 2402879
ssmcontacts, 647
memorydb-jvm, 2252939
odb, 647
mediapackage, 647
appmesh, 647
pipes-jvm, 1465232
controlcatalog, 647
rbin-jvm, 478913
resourcegroupstaggingapi-jvm, 424914
datasync, 647
frauddetector-jvm, 2581832
textract-jvm, 1453421
guardduty-jvm, 4679257
emr-jvm, 3070805
controltower, 647
dax, 647
appfabric, 647
cloudhsm, 647
kinesisanalytics-jvm, 1186444
securityir, 647
georoutes-jvm, 2862571
redshiftserverless-jvm, 2152042
resourcegroups, 647
mediatailor-jvm, 2098408
hll-mapping-core-jvm, 38175
backupsearch-jvm, 700040
supplychain, 647
lakeformation, 647
cloudsearch-jvm, 1193353
paymentcryptographydata-jvm, 1294862
bcmdashboards, 647
invoicing-jvm, 610410
artifact-jvm, 393834
translate, 647
